bin_index,events,expected_events,X_min,X_max,Q_min,Q_max,Z_min,Z_max,PhPerp_min,PhPerp_max,used_reconstructed_kinematics,n_injections,avg_X,avg_Q,avg_Q2,avg_Z,avg_PhPerp,avg_Y,exp_lumi [nb^-1],mc_lumi [nb^-1],injected_asymmetry,reconstructed_asymmetry,reconstructed_asymmetry_montecarlo_stderr,reconstructed_asymmetry_err
0,3579,124035461,4e-05,0.000128,0,1000,-99999,99999,-99999,99999,True,1000,9.464714128003858e-05,1.054079188602066,1.131379148001094,0.1491755058129313,0.49412610071020974,0.6162475484855117,10000000,861.5691614869147,0.0,0.0018930196611309997,0.05206858780318992,0.0008703520363478038
1,3929,135679433,0.000128,0.000208,0,1000,-99999,99999,-99999,99999,True,1000,0.00016655251758698652,1.2125944988975605,1.5130710002269174,0.15732164497999074,0.5178644372028111,0.46399226857284626,10000000,861.5691614869147,0.0,0.001354806645813359,0.03939653411661908,0.0006285169615734129
2,4079,139752925,0.000208,0.000319,0,1000,-99999,99999,-99999,99999,True,1000,0.0002611869938212274,1.376489881531845,1.9798918117838908,0.16722737536986376,0.5392566271637024,0.3846360541874079,10000000,861.5691614869147,4.90000000000019e-07,-0.0004257421443512225,0.03540002512576687,0.0005542768212131745
3,4629,156323161,0.000319,0.000473,0,1000,-99999,99999,-99999,99999,True,1000,0.000390849729930922,1.5606600687491847,2.583926829840962,0.16429418958255623,0.5452089766031344,0.33571611922024897,10000000,861.5691614869147,3.450000000000109e-06,-0.00039849860090485415,0.03327768326425713,0.0004891133237532338
4,5132,159151999,0.000473,0.000687,0,1000,-99999,99999,-99999,99999,True,1000,0.0005758225278869127,1.717198406618124,3.1898256312944793,0.17227849548936225,0.5550245055598529,0.2811375825649874,10000000,861.5691614869147,8.330000000000329e-06,0.0005748060882189998,0.03293619409360317,0.00045975884113887204
5,7437,168277279,0.000687,0.001,0,1000,-99999,99999,-99999,99999,True,1000,0.0008380697191771803,1.9094040488233055,4.041120758413471,0.17322197366793218,0.5547123824690557,0.24491436266308028,10000000,861.5691614869147,2.2839999999997752e-05,-0.0007438356679759988,0.02917137097097349,0.00033826568965124727
6,3720,67507386,0.001,0.001161,0,1000,-99999,99999,-99999,99999,True,1000,0.0010793238789283182,2.097565832385427,4.921291324457441,0.17101343471667274,0.570762302366984,0.23054162712753598,10000000,861.5691614869147,4.120000000000373e-05,-0.0016039635105871235,0.03914306272942246,0.0006417757957416796
7,4296,68114450,0.001161,0.001368,0,1000,-99999,99999,-99999,99999,True,1000,0.0012601571206963826,2.188021172721182,5.364256673726968,0.17200591380614808,0.5767841120562426,0.21523997180845775,10000000,861.5691614869147,4.7039999999999855e-05,-0.0012037447638951432,0.03706511022915927,0.0005655007167026264
8,4910,69355596,0.001368,0.001627,0,1000,-99999,99999,-99999,99999,True,1000,0.0014946003581675223,2.298655052881681,6.002666875688145,0.17601159760773175,0.5795333600130048,0.20292982428925677,10000000,861.5691614869147,7.548000000000428e-05,0.003413266414522076,0.03339946583113586,0.00047664909742750427
9,5636,71910740,0.001627,0.00195,0,1000,-99999,99999,-99999,99999,True,1000,0.0017824583983579792,2.4446840584645955,6.802923521969331,0.17110001618418597,0.57830568062272,0.19290744955164993,10000000,861.5691614869147,0.00012578999999999935,0.0005530598773298565,0.031585573243311835,0.0004207297972541087
10,6395,71468099,0.00195,0.002385,0,1000,-99999,99999,-99999,99999,True,1000,0.0021557024037590733,2.629024225395556,7.873267247221582,0.17609382673016144,0.5779993449029911,0.18453797801608984,10000000,861.5691614869147,0.00018670999999999296,0.000669165451214427,0.028973162749889078,0.00036230608784174035
11,8033,73561454,0.002385,0.003026,0,1000,-99999,99999,-99999,99999,True,1000,0.0026862045457292983,2.8946294532981915,9.606458287639898,0.17456350809804483,0.5776764238476464,0.18093995399453366,10000000,861.5691614869147,0.0003150599999998861,0.0006046112739017982,0.024980325728350513,0.00027871427554275387
12,10300,78133762,0.003026,0.004058,0,1000,-99999,99999,-99999,99999,True,1000,0.003501272581003341,3.227587963506703,11.907775351588555,0.1695172973939001,0.5977610202985141,0.17217108218020002,10000000,861.5691614869147,0.0005665000000002075,0.0009340520027335247,0.020567106908074114,0.00020265372603660514
13,13543,77292314,0.004058,0.005965,0,1000,-99999,99999,-99999,99999,True,1000,0.004908016626267377,3.7354755457378737,16.054721039555062,0.16409920468490405,0.5878792008662319,0.1656161242672038,10000000,861.5691614869147,0.0009818700000003918,0.0024856822006042224,0.01817743510193736,0.00015619789022759459
14,28102,83278660,0.005965,0.010936,0,1000,-99999,99999,-99999,99999,True,1000,0.007944780334014537,4.597954550960535,24.54437985957297,0.16618763303193,0.6074732171455594,0.1561975300624179,10000000,861.5691614869147,0.002411809999997604,0.011204277281616493,0.014228680454662237,8.487817077723167e-05
15,185835,85660711,0.010936,0.99979,0,1000,-99999,99999,-99999,99999,True,1000,0.03503416261746515,8.352102644669758,96.66383430182857,0.15341937093100588,0.6551632472012732,0.14672242980181452,10000000,861.5691614869147,0.06092705999993549,0.051423225977722864,0.005449080344369971,1.2640360364438357e-05
